KEY,English,Turkish,German,Spanish,Italian,Portuguese,French,Hungarian,Polish,Russian,Malay,Czech,Thai,Chinese,Korean,Japanese,Arabic,Indonesian,Romanian,Vietnamese
LEVEL_COMPLETED,LEVEL COMPLETED!,SEVİYE TAMAMLANDI!,LEVEL ABGESCHLOSSEN!,NIVEL SUPERADO!,LIVELLO COMPLETATO!,NÍVEL COMPLETADO!,NIVEAU TERMINÉ!,SZINT TELJESÍTVE!,POZIOM UKOŃCZONY!,УРОВЕНЬ ПРОЙДЕН!,TAHAP SELESAI!,ÚROVEŇ DOKONČENA!,เคลียร์เสร็จสมบูรณ์!,關卡已完成！,레벨 완료!,レベル完了！,اكتمل المستوى!,LEVEL SELESAI!,NIVEL COMPLETAT!,ĐÃ HOÀN THÀNH MÀN CHƠI!
LEVEL_TITLE,LEVEL,SEVİYE,LEVEL,NIVEL,LIVELLO,NÍVEL,NIVEAU,SZINT,POZIOM,УРОВЕНЬ,TINGKAT,ÚROVEŇ,เลเวล,等級,레벨,レベル,المرحلة,LEVEL,NIVEL,CẤP ĐỘ
WATCH_VIDEO_TITLE,WOULD YOU LIKE TO WATCH VIDEO?,VİDEO İZLEMEK İSTER MİSİN?,MÖCHTEST DU EIN VIDEO ANSEHEN?,QUIERES VER UN VIDEO?,VUOI GUARDARE IL VIDEO?,DESEJA ASSISTIR AO VÍDEO?,REGARDER UNE VIDÉO?,SZERETNÉL MEGTEKINTENI EGY VIDEÓT?,CZY CHCESZ OBEJRZEĆ WIDEO?,ХОЧЕШЬ ПОСМОТРЕТЬ ВИДЕО?,ANDA INGIN MENONTON VIDEO?,CHCEŠ SE PODÍVAT NA VIDEO?,คุณต้องการดูวิดิโอใช่หรือไม่,您想觀看影片嗎？,비디오를 시청하시겠습니까?,ビデオを鑑賞しませんか？,هل ترغب بمشاهدة فيديو؟,ANDA INGIN MENONTON VIDEO?,VREI SĂ URMAREȘTI UN VIDEO?,BẠN CÓ MUỐN XEM VIDEO KHÔNG?
WATCH_VIDEO_BUTTON,WATCH,İZLE,ANSEHEN,VER,GUARDA,ASSISTIR,OUI,MEGTEKINTÉS,ZOBACZ,СМОТРЕТЬ,TONTON,PODÍVAT SE,ดู,WATCH,시청하기,観る,شاهد,TONTON,CEAS,XEM
SETTINGS_MUSIC,MUSIC,MÜZİK,MUSIK,MÚSICA,MUSICA,MÚSICA,MUSIQUE,ZENE,MUZYKA,МУЗЫКА,MUSIK,HUDBA,ดนตรี,音樂,음악,音楽,الموسيقى,MUZIK,MUZICĂ,ÂM NHẠC
SETTINGS_SOUND,SOUND,SES,TON,SONIDO,SUONO,SOM,SON,HANG,DŹWIĘK,ЗВУК,SUARA,ZVUK,เสียง,聲音,소리,サウンド,الصوت,BUNYI,SUNET,ÂM THANH
SETTINGS_NOTIFICATION,NOTIFICATION,BİLDİRİMLER,BENACHRICHTIGUNG,NOTIFICACIONES,NOTIFICHE,NOTIFICAÇÃO,NOTIFICATIONS,ÉRTESÍTÉSEK,POWIADOMIENIA,УВЕДОМЛЕНИЯ,PEMBERITAHUAN,OZNÁMENÍ,การแจ้งเตือน,通知,알림,通知,إشعار,NOTIFIKASI,NOTIFICARE,THÔNG BÁO
NEXT_BUTTON,NEXT,SONRAKİ,WEITER,SIGUIENTE,SUCCESSIVO,PRÓXIMO,SUIVANT,KÖVETKEZŐ,DALEJ,ДАЛЬШЕ,SETERUSNYA,DALŠÍ,ถัดไป,下一關,다음,次へ,التالي,BERIKUTNYA,URMĂTORUL,KẾ TIẾP
SETTINGS_TITLE,SETTINGS,AYARLAR,EINSTELLUNGEN,OPCIONES,IMPOSTAZIONI,CONFIGURAÇÕES,OPTIONS,BEÁLLÍTÁSOK,USTAWIENIA,НАСТРОЙКИ,TETAPAN,NASTAVENÍ,ตั้งค่า,設定,설정,設定,الاعدادات,PENGATURAN,SETĂRI,CÀI ĐẶT
_BUBBA,Uncle Bubba,Şakir Dayı,Onkel Bubba,Tío Bubba,Zio Berto,Tio Buba,Tonton Tanguy,Buci bácsi,Wujek Bolek,Дядя Вова,Pakcik Bobba,Strýček Jarda,ลุงป้อม,布巴叔叔,수염 삼촌,ひげおじさん,العم غسان,Paman Boba,Unchiul Gigi,Ông Bác Trà Sữa
_BUY,BUY,SATIN AL,KAUFEN,COMPRAR,ACQUISTA,COMPRAR,ACHETER,Megvásárlás,KUP,КУПИТЬ,BELI,KOUPIT,ซื้อ,買,구입,買う,اشتري,BELI,CUMPĂRĂ,MUA
_GAME_END_MESSAGE_NEW,You finished all of the levels. Hundreds of new levels are coming soon!,Tüm bölümleri bitirdin. Yüzlerce yeni bölüm yakında geliyor!,Du hast alle Level abgeschlossen. Hunderte neue Level kommen bald!,Has terminado todos los niveles. ¡Cientos de nuevos niveles llegarán pronto!,Hai completato tutti i livelli. Centinaia di nuovi livelli in arrivo!,Você completou todos os níveis. Centenas de novos níveis estão chegando em breve!,Vous avez terminé tous les niveaux. Des centaines de nouveaux niveaux arrivent bientôt !,Az összes szintet teljesítetted. Hamarosan fejtörők százaival térünk vissza!,Ukończyłeś wszystkie poziomy. Setki nowych poziomów już wkrótce!,Вы прошли все уровни. Сотни новых уровней скоро появятся!,Anda telah menyelesaikan semua tahap. Ratusan tahap baru akan datang tidak lama lagi!,Dokončili jste všechny úrovně. Stovky nových úrovní přicházejí brzy!,คุณเล่นครบทุกด่านแล้ว ระดับใหม่อีกหลายร้อยจะมาเร็วๆ นี้!,你已完成所有關卡。數百個新關卡即將推出！,모든 레벨을 완료했습니다. 수백 개의 새로운 레벨이 곧 출시됩니다!,すべてのレベルをクリアしました。新しいレベルが何百も近日公開予定です！,لقد أنهيت جميع المستويات. مئات المستويات الجديدة قادمة قريبًا!,Anda telah menyelesaikan semua level. Ratusan level baru akan segera hadir!,Ai terminat toate nivelurile. Sute de niveluri noi vor veni în curând!,Bạn đã hoàn thành tất cả các cấp độ. Hàng trăm cấp độ mới sẽ sớm ra mắt!
_GRANNY,Granny Amy,Naciye Teyze,Oma Amy,Abuela Amy,Nonna Uga,Vovó Emi,Mamie Annie,Margó nagyi,Babcia Ania,Баба Маня,Nek Yam,Babička Vlasta,ยายชะเอม,愛咪婆婆,순자 할머니,エイミー婆さん,الجدة أمل,Nenek Ami,Bunica Ana,Bà Ngoại Nghiêm Nghị
_GYMMY,Gymmy,Berkecan,Fitbert,Musculeón,Sporty,Academilson,Sporty,Atlét Ati,Osiłek,Качок,Abang Sado,Filip,เบิ้ม,吉米,지미,ジョージ,عنتر,Sasana,Titi,Kimmy Cứng Cáp
_JENNY,Jenny,Elvan,Jenny,Jenny,Jenny,Jen,Candice,Szandi,Joanna,Оля,Jenni,Iva,ตะเภา,珍妮,제니,ナミ,ماري,Jenita,Nela,Jenny Vụng Về
_JUDY,Judy,Pelinsu,Juju,Judy,Judy,Júlia,Clara,Vivi,Edytka,Алиса,Juju,Jitka,แป้ง,茱蒂,주디,ユリ,كارمن,Ziudith,Iulia,Judy Kiêu Kỳ
_LARRY,Lazy Larry,Bahtiyar,Fauler Felix,Víctor el vago,Abelardo,Pedro Preguiça,Théo la Flemme,Lusta Pista,Leniwy Lucek,Баклушник Леня,Korie Kelesa,Líný Lukáš,สายฟ้าขี้เกียจ,懶惰阿瑞,게으른 연우,怠け者ラリー,أمجد الكسول,Lerri Lesu,Pamfil Placidul,Larry Lả Lướt
_LEVEL_X,LEVEL {level_no},BÖLÜM {level_no},LEVEL {level_no},NIVEL {level_no},LIVELLO {level_no},NÍVEL {level_no},NIVEAU {level_no},{level_no}. SZINT,POZIOM {level_no},УРОВЕНЬ {level_no},TAHAP {level_no},ÚROVEŇ {level_no},เลเวล {level_no},關卡 {level_no},레벨 {level_no},レベル{level_no},المرحلة {level_no},LEVEL {level_no},NIVELUL {level_no},CẤP ĐỘ {level_no}
_LEVELS,LEVELS,SEVİYELER,LEVELS,NIVELES,LIVELLI,NÍVEIS,NIVEAUX,SZINTEK,POZIOMY,УРОВНИ,TAHAP,ÚROVNĚ,เลเวล,關卡,레벨,レベル,المراحل,LEVEL,NIVELURI,CÁC CẤP ĐỘ
_LILY,Tricky Lily,Bilmiş Bediş,Listige Lilli,Lily la lista,Lilli la furba,Lily Astuta,Lily Facétie,Cseles Csenge,Przebiegła Lidka,Непоседа Лиля,Lily Licik,Mazaná Lucka,สายฝนขี้แกล้ง,俏皮莉莉,교묘한 릴리,おしゃまなリリー,ليلى المخادعة,Licca Liku,Poznașa Lia,Lily Lí Lắc
_MARTIAN,The Martian,Marslı,Der Marsmensch,Marciano,Il marziano,O Marciano,Martien,Marslakó,Marsjanin,Марсианин,Makhluk Marikh,Marťan,ชาวดาวอังคาร,火星人,화성인,火星人,المريخي,Orang Mars,Marțianul,Người Sao Hỏa
_NEW_ITEM,,YENİ KIYAFET,NEUES ITEM!,¡OBJETO NUEVO!,NUOVO OGGETTO!,NOVO ITEM!,NOUVEL OBJET !,ÚJ ELEM!,NOWY PRZEDMIOT!,НОВЫЙ ПРЕДМЕТ!,ITEM BAHARU!,NOVÁ POLOŽKA!,ไอเทมใหม่!,新物品！,새로운 아이템!,新アイテム！,عنصر جديد!,ITEM BARU!,ARTICOL NOU!,VẬT PHẨM MỚI!
_NEXT_LEVEL,NEXT,SONRAKİ,WEITER,SIGUIENTE,SUCCESSIVO,PRÓXIMO,SUIVANT,KÖVETKEZŐ,DALEJ,ДАЛЬШЕ,SETERUSNYA,DALŠÍ,ถัดไป,下一關,다음,次へ,التالي,BERIKUTNYA,URMĂTORUL,KẾ TIẾP
_NO_THANKS,"No, thanks",Hayır teşekkürler!,Nein danke!,"No, gracias.","No, grazie!","Não, valeu!","Non, merci","Nem, köszi!","Nie, dzięki!","Нет, спасибо!",Terima kasih sajalah!,"Ne, děkuji!",ไม่ละ ขอบคุณ!,不謝！,괜찮아요!,結構です！,ًلا شكرا!,"Tidak, terima kasih!","Nu, mulțumesc!","Không, cám ơn!"
_OPEN,OPEN!,Aç,ÖFFNEN,ABRIR,APRI,ABRIR,OUVRIR,LÁSSUK!,OTWÓRZ,ОТКРЫТЬ,BUKA,OTEVŘÍT,เปิด,打開,열기,開ける,افتح,BUKA,DESCHIDE,MỞ
_PLAY_NOW,PLAY NOW!,ŞİMDİ OYNA!,SPIELE JETZT!,¡JUEGA AHORA!,GIOCA ORA!,JOGUE AGORA!,JOUEZ MAINTENANT !,JÁTSSZ MOST!,ZAGRAJ TERAZ!,ИГРАТЬ СЕЙЧАС!,MAIN SEKARANG!,HRAJ NYNÍ!,เล่นตอนนี้!,立即遊玩！,지금 플레이하세요!,今すぐプレイ！,العب الأن!,MAINKAN SEKARANG!,JOACĂ ACUM!,CHƠI NGAY!
_READY,READY,HAZIRIM,BEREIT,ANDANDO,SI PARTE,PRONTO,ALLEZ,MEHET!,START,ГОТОВ,SEDIA,JASNĚ,พร้อมแล้ว,開始,준비,OK,مستعد,SIAP,PORNEȘTE,SẴN SÀNG
_SETTINGS,SETTINGS,AYARLAR,EINSTELLUNGEN,OPCIONES,IMPOSTAZIONI,CONFIGURAÇÕES,OPTIONS,BEÁLLÍTÁSOK,USTAWIENIA,НАСТРОЙКИ,TETAPAN,NASTAVENÍ,ตั้งค่า,設定,설정,設定,الاعدادات,PENGATURAN,SETĂRI,CÀI ĐẶT
_SETTINGS_LANGUAGE,LANGUAGE,DİL,SPRACHE,IDIOMA,LINGUA,IDIOMA,LANGUE,NYELV,JĘZYK,ЯЗЫК,BAHASA,JAZYK,ภาษา,語言,언어,言語,اللغة,BAHASA,LIMBĂ,NGÔN NGỮ
_SETTINGS_MUSIC,MUSIC,MÜZİK,MUSIK,MÚSICA,MUSICA,MÚSICA,MUSIQUE,ZENE,MUZYKA,МУЗЫКА,MUZIK,HUDBA,ดนตรี,音樂,음악,BGM,الموسيقى,MUSIK,MUZICĂ,ÂM NHẠC
_SETTINGS_NOTIFICATION,NOTIFICATION,BİLDİRİMLER,BENACHRICHTIGUNG,NOTIFICACIONES,NOTIFICHE,NOTIFICAÇÃO,NOTIFICATIONS,ÉRTESÍTÉSEK,POWIADOMIENIA,УВЕДОМЛЕНИЯ,NOTIFIKASI,OZNÁMENÍ,การแจ้งเตือน,通知,알림,通知,إشعار,NOTIFIKASI,NOTIFICĂRI,THÔNG BÁO
_SETTINGS_OWN_LANGUAGE,english,türkçe,deutsch,español,italiano,português,français,Magyar,polski,Русский,Melayu,Čeština,ภาษาไทย,繁體中文,한국어,日本語,العربية,bahasa indonesia,Română,tiếng việt
_SETTINGS_SOUND,SOUND,SES,TON,SONIDO,SUONO,SOM,SON,HANG,DŹWIĘK,ЗВУК,BUNYI,ZVUK,เสียง,音效,소리,サウンド,الصوت,SUARA,SUNET,ÂM THANH
_SKIP,SKIP,GEÇ,AUSLASSEN,PASAR,SALTA,PULAR,PASSER,ÁTUGRÁS,POMIŃ,ПРОПУСТИТЬ,LANGKAU,PŘESKOČIT,ข้าม,跳過,건너뛰기,スキップ,تخطي,LEWAT,OMITE,BỎ QUA
_SKIP_TEXT,WOULD YOU LIKE TO SKIP THIS LEVEL?,BU SEVİYEYİ GEÇMEK İSTER MİSİN?,MÖCHTEST DU DIESEN LEVEL AUSLASSEN?,¿QUIERES PASAR ESTE NIVEL?,VUOI SALTARE QUESTO LIVELLO?,DESEJA PULAR ESTE NÍVEL?,PASSER CE NIVEAU ?,ÁT SZERETNÉD UGRANI EZT A SZINTET?,CZY CHCESZ POMINĄĆ TEN POZIOM?,ХОЧЕШЬ ПРОПУСТИТЬ ЭТОТ УРОВЕНЬ?,NAK LANGKAU TAHAP INI?,Chceš tuto úroveň přeskočit?,คุณต้องการข้ามเลเวลนี้,想跳過關卡嗎？,이 레벨을 건너뛰고 싶으세요?,このレベルをスキップしますか？,هل ترغب في تخطي هذه المرحلة؟,ANDA INGIN MELEWATI LEVEL INI?,DOREȘTI SĂ OMIȚI ACEST NIVEL?,BẠN CÓ MUỐN BỎ QUA CẤP NÀY?
_TAP_TO_CONTINUE,Tap to continue,Devam etmek için dokun,"Tippen, um fortzufahren",Toca para continuar,Tocca per continuare,Toque para continuar,Appuyez pour continuer,Koppints ide a folytatáshoz,"Stuknij, aby kontynuować","Нажмите, чтобы продолжить",Ketik untuk meneruskan,Klepněte pro pokračování,แตะเพื่อดำเนินการต่อ,點擊繼續,계속하려면 탭하세요,続けるにはタップ,اضغط للمتابعة,Ketuk untuk melanjutkan,Apasă pentru a continua,Nhấn để tiếp tục
_TIKI,Little Tiki,Bıdık,Kleine Tiki,Pequeña Tiki,Tiki,Tiquinha,La p’tite Léa,Polli,Mała Tosia,Малышка Лида,Kiki Kemetot,Malá Týna,สายธารขี้เล่น,小琪琪,작은 태리,小さなキキ,لينا الصغيرة,Tika Belia,Maruca,Bé Tiki
_UNLOCK_A_HINT,Unlock a Hint,Bir ipucu aç,Schalte einen Hinweis frei,Desbloquea una pista,Sblocca un indizio,Desbloqueia uma dica,Débloquer un indice,Tipp feloldása,Odblokuj podpowiedź,Разблокировать подсказку,Buka kunci Petunjuk,Odemknout nápovědu,ปลดล็อกคำใบ้,解鎖一個提示,힌트 잠금 해제,ヒントをアンロック,افتح تلميحًا,Buka Petunjuk,Deblochează un indiciu,Mở khóa một gợi ý
_UNLOCKS_AT_LEVELX,Unlocks at level {level_no},Bölüm {level_no} sonrası açılır,Schaltet frei ab Level {level_no},Se desbloquea en el nivel {level_no},Si sblocca al livello {level_no},Destrava no nível {level_no},Débloqué au niveau {level_no},Teljesíts {level_no} szintet.,Odblokowuje się na {level_no} poziomie,Откроется на ур. {level_no},Buka kunci pada tahap {0},Odemkne se po {level_no}. úrovni,ปลดล็อกที่เลเวล {level_no},通過第{level_no}關後解鎖,레벨 {level_no}에서 잠금 해제,レベル {level_no} で開放されます,يفتح عند المستوى {level_no},Terbuka di level {level_no},Deblochează la nivelul {level_no},Mở khóa ở màn {level_no}
_WATCH_AD_POPUP_TEXT,Would you like to watch video?,Video izlemek ister misin?,MÖCHTEST DU EIN VIDEO ANSEHEN?,¿QUIERES VER UN VIDEO?,VUOI GUARDARE IL VIDEO?,DESEJA ASSISTIR AO VÍDEO?,REGARDER UNE VIDÉO?,SZERETNÉL MEGTEKINTENI EGY VIDEÓT?,CZY CHCESZ OBEJRZEĆ WIDEO?,ХОЧЕШЬ ПОСМОТРЕТЬ ВИДЕО?,INGIN TONTON VIDEO?,CHCEŠ SE PODÍVAT NA VIDEO?,คุณต้องการดูวิดิโอใช่หรือไม่,要看影片嗎？,비디오를 시청하시겠습니까?,ビデオを鑑賞しませんか？,هل ترغب بمشاهدة فيديو؟,ANDA INGIN MENONTON VIDEO?,DOREȘTI SĂ VIZIONEZI VIDEOUL?,BẠN CÓ MUỐN XEM VIDEO KHÔNG?
_WATCH_AD_POPUP_WATCH,Watch,İzle,ANSEHEN,VER,GUARDA,ASSISTIR,OUI,MEGTEKINTÉS,ZOBACZ,СМОТРЕТЬ,TONTON,PODÍVAT SE,ดู,觀看,시청하기,観る,شاهد,TONTON,REDĂ,XEM
_WELCOME,WELCOME!,HOŞGELDİN!,WILLKOMMEN,¡HOLA!,CIAO!,OLÁ!,BIENVENUE !,SZERVUSZ!,WITAJ!,ДОБРО ПОЖАЛОВАТЬ!,SELAMAT DATANG,VÍTEJ!,ยินดีต้อนรับ!,腦力測試,환영합니다!,ようこそ！,مرحباً!,SELAMAT DATANG!,BINE AI VENIT,CHÀO MỪNG!
END_1_1,Cool! Now tell me: which other game lets you move the Sun around like that?,Senin kafan da güneşi böyle örtebiliyor mu bir dene bakalım. :),Cool! Sag ehrlich: welches andere Spiel lässt dich so die Sonne herumbewegen?,¡Genial! ¿Qué otro juego te permite controlar el sol así sin más?,Anche la tua testa è così grande da nascondere il sole?,Legal! Agora me diga: tem algum outro jogo que te deixa controlar o Sol desse jeito?,Cool ! Il n’y a pas beaucoup de jeux dans lesquels on contrôle le soleil !,"Szép munka! Bónuszkérdés: a te fejed is van olyan nagy, hogy eltakarja a Napot?",Super! W jakiej innej grze można bawić się ciałami niebieskimi?,Здорово! А теперь скажи мне: в какой еще игре ты можешь так перемещать солнце?,"Hebat! Cakap, permainan mana lagi yang biarkan korang seret Matahari macam tu?","Super! A teď mi řekni, která hra ti takhle dovolí hýbat se sluncem?",เจ๋ง! ทีนี้ลองบอกซิว่า มีเกมไหนให้คุณย้าย ดวงอาทิตย์แบบนี้ได้บ้าง?,好極了！ 還有什麼遊戲比這更好玩？,좋아요! 말해보세요. 어떤 게임이 태양을 그렇게 움직일 수 있죠?,クール！あなたの頭も太陽を隠すくらい大きいですか？,رائع! أخبرني الآن: هل يوجد ألعاب أخرى تتيح لك تحريك الشمس بهذه الطريقة؟,"Keren, kan? Di gim mana lagi kamu bisa jadi pengendali matahari?",Ce tare! Să te văd pe tine că poți eclipsa soarele cu capul!,Hay đấy! Giờ thì nói mình nghe: có game nào cho phép bạn di chuyển Mặt Trời xung quanh như thế nữa ấy nhỉ?
END_10_1,Humanity would never starve if the dandruffs were edible!,"Sende kepeklerinden kurtulmak için baş aşağı durmayı dene, çok etkili.. Şaka şaka :))","Die Menschheit hätte kein Hungerproblem, wenn diese Schuppen essbar wären!","Si la caspa fuera comestible, quizá serviría como condimento.","L'umanità risolverebbe il problema della fame, se la forfora fosse commestibile!",A humanidade nunca mais sentiria fome se caspa fosse comestível.,"Si les pellicules étaient des flocons, les stations de ski seraient sauvées du réchauffement climatique.","Kár, hogy ezt a korpát nem ehetjük meg... Egy csapásra megoldódnának a Föld élelmezési gondjai!",Przypomina kaszę! To rozwiązałoby problem głodu na świecie!,"Люди никогда бы не голодали, если бы перхоть была съедобной!","Kalaulah kelemumur boleh dimakan, tak akan ada kebuluran di dunia ni!","Lidstvo by nikdy netrpělo hladem, kdyby se lupy daly jíst!",มนุษยชาติจะ ไม่มีวันอดตาย หากรังแคกินได้!,要是頭皮屑能吃， 世界上就不會有饑荒了!,비듬이 음식이라면 인류는 결코 굶주릴 일이 없을 것입니다!,ふけが食用だったら、人類は決して飢えないでしょう！,لن تجوع البشرية أبدًا إذا كانت قشرة الرأس صالحة للأكل!,"Andai ketombe bisa dimakan, tidak ada lagi manusia yang kelaparan.","Dacă mătreața ar fi comestibilă, planeta ar scăpa de foamete.",Nhân loại sẽ không bao giờ bị đói nếu gàu là món ăn!
END_100_1,So you've completed 100 levels. What? You want a medal or something?,"Vay be 100 bölümü devirdin, sakın madalya falan bekleme ama. Aferin desem yeter.",Du hast 100 Levels geschafft. Was? Erwartest du dir etwa eine Medaille oder so?,Así que completaste 100 niveles... ¿Qué? ¿Acaso quieres una medalla?,"Bene, hai completato 100 livelli. E quindi? Do you want applause?",Então você completou 100 níveis. O quê? Quer uma medalha ou algo assim?,Vous avez terminé 100 niveaux. Vous méritez une médaille !,"Azt mondod, túljutottál 100 szinten? Most tapsoljalak meg, vagy mi?",Masz już za sobą 100 poziomów. I co? Liczysz na medal?,"Так, 100 уровней пройдены. Что? Хочешь медаль или что?",Tahulah korang dah main sampai tahap 100. Hmm! Korang nak hadiah ke?,Máš za sebou 100 úrovní. Co? Chceš za to snad medaili nebo něco?,คุณผ่าน 100 เลเวลแล้ว ว่าไงนะ? คุณอยากได้ ของรางวัลหรอ?,就算破了100關又怎樣？ 難不成要幫你放煙火？,당신은 100 레벨을 완료했습니다. 네? 메달 같은 걸 원해요?,というわけで、100レベルをクリアしました。えっ、メダルとか欲しいのですか？,إذن لقد أكملت 100 مستوى. ماذا؟ هل تريد ميدالية أو شيء من هذا القبيل؟,"Oke, kamu sudah resmi menyelesaikan 100 level. Apa? Masih butuh validasi?",Și ce dacă ai terminat 100 de niveluri? Vrei o medalie?,Vậy là bạn đã hoàn thành 100 màn chơi rồi. Cái gì cơ? Bạn muốn được trao huy chương á?
END_101_1,"Tiki, come on! You are going to be late for school!","Bıdık, acele et yoksa okula geç kalacaksın!","Tiki, komm schon, du wirst zu spät in die Schule kommen!","¡Ya vámonos, Tiki, o llegarás tarde a la escuela!","Tiki, forza! Farai tardi a scuola!","Tiquinha, vamos! Vai se atrasar pra escola!","Allez, Léa ! Tu vas être en retard !","Gyere, Polli! El fogsz késni a suliból!","Tosia, szybciej! Spóźnisz się do szkoły!","Лида, быстрее! Ты опаздываешь в школу!","Kiki, cepat! Nanti lambat nak pergi sekolah!","Pospěš si, Týno! Přijdeš pozdě do školy!",สายธาร เร็วเข้า! เดี๋ยว ไปโรงเรียนสายนะ!,小琪琪，妳上學要遲到了！,"태리, 서둘러! 학교에 늦어!",キキ、早く！学校に遅れるでしょう！,لينا، سوف تتأخرين عن المدرسة!,"Cepat, Tika! Nanti terlambat ke sekolah!","Vino, Maruca! O să întârzii la școală!","Tiki, nhanh lên nào! Em sẽ muộn học mất thôi!"
